 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  3339  3339    19   0.000E+00   0.000E+00   5.130E-01   6.490E+00
  3339  3442    19   1.067E-01   1.109E-01   5.130E-01   6.490E+00
  3339    56    19   8.743E-01   8.876E-01   5.130E-01   6.490E+00
  3442  3339    19   4.982E-02   5.176E-02   5.130E-01   6.673E+00
  3442  3442    19   0.000E+00   0.000E+00   5.130E-01   6.673E+00
  3442    56    19   9.347E-01   9.470E-01   5.130E-01   6.673E+00
    56  3339    19   2.994E-01   3.040E-01   5.130E-01   7.004E+00
    56  3442    19   6.858E-01   6.949E-01   5.130E-01   7.004E+00
    56    56    19   0.000E+00   0.000E+00   5.130E-01   7.004E+00
  3327  3327    20   0.000E+00   0.000E+00   2.994E-01   3.969E+00
  3327  3331    20   9.193E-02   9.814E-02   2.994E-01   3.969E+00
  3327  3333    20   8.785E-01   8.996E-01   2.994E-01   3.969E+00
  3331  3327    20   4.009E-02   4.280E-02   2.994E-01   4.033E+00
  3331  3331    20   0.000E+00   0.000E+00   2.994E-01   4.033E+00
  3331  3333    20   9.359E-01   9.554E-01   2.994E-01   4.033E+00
  3333  3327    20   2.838E-01   2.906E-01   2.994E-01   4.233E+00
  3333  3331    20   6.933E-01   7.078E-01   2.994E-01   4.233E+00
  3333  3333    20   0.000E+00   0.000E+00   2.994E-01   4.233E+00
  3331  3331    21   0.000E+00   0.000E+00   2.818E-01   3.811E+00
  3331  3329    21   7.946E-02   8.515E-02   2.818E-01   3.811E+00
  3331    24    21   8.918E-01   9.127E-01   2.818E-01   3.811E+00
  3329  3331    21   3.365E-02   3.606E-02   2.818E-01   3.885E+00
  3329  3329    21   0.000E+00   0.000E+00   2.818E-01   3.885E+00
  3329    24    21   9.430E-01   9.622E-01   2.818E-01   3.885E+00
    24  3331    21   2.796E-01   2.861E-01   2.818E-01   4.047E+00
    24  3329    21   6.980E-01   7.123E-01   2.818E-01   4.047E+00
    24    24    21   0.000E+00   0.000E+00   2.818E-01   4.047E+00
    23    23    22   0.000E+00   0.000E+00   1.675E-02   2.638E-01
    23  1957    22   2.395E-01   3.488E-01   1.675E-02   2.638E-01
    23    35    22   4.376E-01   6.282E-01   1.675E-02   2.638E-01
  1957    23    22   6.319E-01   9.216E-01   1.675E-02   2.760E-01
  1957  1957    22   0.000E+00   0.000E+00   1.675E-02   2.760E-01
  1957    35    22   1.729E-02   5.215E-02   1.675E-02   2.760E-01
    35    23    22   6.591E-01   9.469E-01   1.675E-02   2.745E-01
    35  1957    22   9.865E-03   2.975E-02   1.675E-02   2.745E-01
    35    35    22   0.000E+00   0.000E+00   1.675E-02   2.745E-01
    27    27    23   0.000E+00   0.000E+00   2.333E-02   3.574E-01
    27   156    23   3.025E-02   7.041E-02   2.333E-02   3.574E-01
    27    22    23   6.722E-01   9.070E-01   2.333E-02   3.574E-01
   156    27    23   1.526E-02   3.554E-02   2.333E-02   3.616E-01
